pub_year,processed_articles,with_abstract,caucasian_articles,white_articles,european_articles,other_articles,caucasian_pct,white_pct,european_pct,other_pct
1947,29,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
1948,26,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
1949,30,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
1950,37,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
1951,49,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
1952,54,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
1953,55,0,0,0,0,1,0.0000,0.0000,0.0000,1.8182
1954,46,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
1955,45,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
1956,44,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
1957,40,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
1958,56,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
1959,65,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
1960,117,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
1961,65,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
1962,72,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
1963,68,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
1964,167,0,0,0,0,1,0.0000,0.0000,0.0000,0.5988
1965,156,0,0,0,1,0,0.0000,0.0000,0.6410,0.0000
1966,223,0,1,0,1,3,0.4484,0.0000,0.4484,1.3453
1967,237,0,0,0,0,1,0.0000,0.0000,0.0000,0.4219
1968,276,0,2,0,0,2,0.7246,0.0000,0.0000,0.7246
1969,317,0,0,0,1,9,0.0000,0.0000,0.3155,2.8391
1970,322,34,2,0,1,13,0.6211,0.0000,0.3106,4.0373
1971,379,53,0,0,2,7,0.0000,0.0000,0.5277,1.8470
1972,429,61,2,0,2,14,0.4662,0.0000,0.4662,3.2634
1973,397,81,1,0,1,10,0.2519,0.0000,0.2519,2.5189
1974,502,121,3,1,0,14,0.5976,0.1992,0.0000,2.7888
1975,530,111,0,0,7,12,0.0000,0.0000,1.3208,2.2642
1976,615,133,1,0,3,15,0.1626,0.0000,0.4878,2.4390
1977,624,115,1,2,1,18,0.1603,0.3205,0.1603,2.8846
1978,703,115,2,2,0,15,0.2845,0.2845,0.0000,2.1337
