phrase,n
European populations,52
European ancestry,33
European,21
European Americans,21
Europeans,21
European descent,15
European population,11
European patients,10
European American,9
European‐American (EA),9
European‐American,7
European‐Americans (EAs),6
European families,6
European cohorts,5
individuals of European ancestry,5
European‐Americans,4
European cohort,4
European Populations,4
individuals of European descent,4
in Europeans,4
women of European ancestry,4
European admixture,3
European-American,3
European Americans (EAs),3
European-ancestry,3
European countries,3
non-European ancestry,3
non-Finnish Europeans,3
northern European ancestry,3
South European population,3
West European,3
controls of European ancestry,2
Dutch descent,2
European American (EA),2
European Ancestries,2
European Ancestry,2
European ancestry populations,2
European and African Americans,2
European‐derived,2
European Founder Lineages,2
European genetic diversity,2
European Gypsy population,2
European hake,2
European individuals,2
European oaks,2
European origin,2
European races,2
European roe deer,2
European Roma,2
European samples,2
