journal_name,article_count,earliest_year,latest_year,articles_with_abstract,abstract_percentage
American Journal of Medical Genetics Part A,12332,2002,2025,8686,70.4
American Journal of Medical Genetics Part B: Neuropsychiatric Genetics,2623,2002,2025,2170,82.7
American Journal of Medical Genetics Part C: Seminars in Medical Genetics,1252,2002,2025,963,76.9
Clinical Genetics,10641,1970,2025,7276,68.4
European Journal of Human Genetics,6566,1993,2025,511,7.8
Familial Cancer,1642,2001,2025,96,5.8
Genetic Epidemiology,3784,1984,2025,2275,60.1
Genetics in Medicine,5891,1998,2025,6,0.1
Heredity,9606,1947,2025,197,2.1
Human Genetics,12301,1964,2025,232,1.9
Human Genetics and Genomics Advances,332,2020,2025,0,0.0
Human Genomics,1027,2003,2025,447,43.5
Human Mutation,7763,1992,2025,82,1.1
Journal of Community Genetics,772,2010,2025,86,11.1
Journal of Genetic Counseling,3005,1992,2025,2246,74.7
Journal of Medical Genetics,10761,1964,2025,948,8.8
The American Journal of Human Genetics,8401,1997,2025,0,0.0
