phrase,n
Japanese,144
Chinese,141
Italian,64
Finnish,45
Ashkenazi Jewish,42
Han Chinese,41
African Americans,38
Turkish,34
Dutch,33
Spanish,32
Ashkenazi Jews,30
Danish,30
African American,28
Swedish,28
Japanese population,26
Chinese population,23
Hispanic,22
Indian,20
Korean,20
Chinese Han population,18
German,18
Ashkenazi Jewish population,17
Spanish population,17
Chinese Han,15
Finnish population,15
African-American,14
African‐American,14
Polish,14
Amish,13
Asian,13
Italian patients,13
Italian population,13
Mexican,13
Portuguese,13
Irish,12
African,11
black,11
French Canadian,11
Norwegian,11
Pakistani,11
Dutch population,10
French,10
Greek,10
Arab,9
Ashkenazi,9
Asians,9
Jewish,9
Hungarian,8
Indian population,8
Italian family,8
